,Property.GFA...Self.Reported..ft_2.,Primary.Property.Type...Self.Selected,Weather.Normalized.Site.Energy.Use..kBtu.,Weather.Normalized.Site.Electricity..kWh.,Year.Built
1,100000,Office,7209606.9,1142242.3,1883
2,50000,Multifamily Housing,7512402.4,49824,1947
3,50000,Multifamily Housing,7642369,45287,1940
4,169416,Office,10823957.1,2222036.9,1909
5,604557,Office,40592483.7,6641119.3,1959
6,127338,Multifamily Housing,3746731,285187.5,2008
7,106000,Senior Care Community,23321339.8,1897056,1969
8,50000,Manufacturing/Industrial Plant,7571263.9,1962684.9,1959
9,150000,Office,12628181,1757225.2,1969
10,155000,Self-Storage Facility,460658.4,123200,1928
11,91564,Distribution Center,4296207.2,888466.1,1978
12,295000,Multifamily Housing,52311704.3,1558045.5,1960
13,395792,Multifamily Housing,13050723,1333456.4,2006
14,75000,Multifamily Housing,4723054.1,208000,1989
15,360000,Manufacturing/Industrial Plant,2558605.8,688799.9,1868
16,72000,Manufacturing/Industrial Plant,1165539.2,341600,1870
17,80000,Manufacturing/Industrial Plant,1242457.9,271249.4,1963
18,273124,K-12 School,17691016.2,601008.8,1962
19,110000,Office,9024881.5,885052.1,1917
20,65500,Other,7666088.5,5196.6,1954
21,346253,Multifamily Housing,50423523.7,8146850.7,1987
22,115259,Multifamily Housing,8399908.9,796831.3,1974
23,127024,Multifamily Housing,8798821.1,889746.8,1966
24,192655,Multifamily Housing,17291118.1,900219.7,1964
25,167750,Multifamily Housing,15901415.8,858480.8,1952
26,225877,Multifamily Housing,24308341.2,1278007.7,1962
27,114753,Multifamily Housing,9831932.7,572521.6,1935
28,349345,Multifamily Housing,25349422.5,1512830.3,1931
29,284409,Multifamily Housing,17220294.9,1121579.9,1925
30,253490,Multifamily Housing,27269554.2,728907.4,1964
31,395521,Multifamily Housing,44352870.2,1524180.4,1949
32,724299,Multifamily Housing,42120556.9,5737602.2,1929
33,100000,Multifamily Housing,11170153.6,1709767,1925
34,106167,Multifamily Housing,9075611.5,1019788.8,2007
35,499960,Multifamily Housing,67804579.1,2531367.8,1957
36,115181,Multifamily Housing,11307608.8,582857.7,1954
37,318870,Multifamily Housing,34436899.4,2303310.7,1980
38,189403,Multifamily Housing,11643506.3,732008.3,1960
39,92431,Multifamily Housing,6753040.8,522149.6,1890
40,166496,Multifamily Housing,14971011.7,753357.7,1954
41,329647,Multifamily Housing,37735717.8,1254542,1957
42,226965,Multifamily Housing,28589237,1256779,1965
43,480000,Multifamily Housing,34964662.8,3444000.4,1962
44,215873,Multifamily Housing,10103761.5,1154537.8,1960
45,78426,Hotel,10750707.3,1727522.1,2007
46,227463,Multifamily Housing,18448501.4,2496671.1,1929
47,289122,Multifamily Housing,15429239.4,2333669,1906
48,810962,Multifamily Housing,46281840.7,6337264,1926
49,269220,Multifamily Housing,25288530.2,1958771.8,1973
50,105015,Multifamily Housing,7221095.3,1082974,1987
51,431730,Multifamily Housing,20230898.7,2070232.4,1960
52,482294,Multifamily Housing,33573291.6,3370631.3,1962
53,286061,Multifamily Housing,41716672,4190015.7,1927
54,223282,Multifamily Housing,13795589.7,1247527.2,1962
55,493220,Multifamily Housing,33690810.3,2213748.3,1956
56,70563,Multifamily Housing,4137375.7,186252.9,1986
57,230644,Multifamily Housing,15981987.9,737392.6,1962
58,134694,Multifamily Housing,9122697.3,636365.4,1931
59,57500,Office,988349.2,289668.5,1970
60,77000,Other - Services,4781649.2,486734.6,1947
61,104079,Self-Storage Facility,3305043.2,268686.4,1947
62,137332,Self-Storage Facility,2034199.6,236145.1,1967
63,59589,Self-Storage Facility,2075484.8,204387.1,2013
64,63529,Self-Storage Facility,1392332.6,221229.7,1942
65,154337,Self-Storage Facility,5112508.5,261763.3,1961
66,51975,Self-Storage Facility,3209755.9,282283.8,2011
67,135600,Self-Storage Facility,4833950,571187,2005
68,74009,Self-Storage Facility,2619371.7,186779.3,2007
69,85000,Self-Storage Facility,1272790.3,202675,1995
70,132777,Self-Storage Facility,1055076.9,292514.8,2005
71,459965,Office,31976312.2,9371719.9,1946
72,240040,Multifamily Housing,19982087.4,1033539.6,1925
73,52156,Multifamily Housing,1626075.6,109975.5,2009
74,50885,Multifamily Housing,5214901.8,239250.8,1932
75,58136,Manufacturing/Industrial Plant,4718737.7,459762.4,2008
76,110000,K-12 School,7525353.1,901370.5,1972
77,208203,Office,20635110.2,4241732.3,1987
78,51000,Office,3113032.3,152340.4,1925
79,70650,Multifamily Housing,6874345.7,274683,1926
80,87900,Multifamily Housing,8048047.7,501231.1,1939
81,206974,Multifamily Housing,9135395.6,2047842.9,1987
82,63084,Multifamily Housing,5382218.8,228772.6,1983
83,52500,Retail Store,2535696.3,106498.7,1920
84,55000,College/University,4770359.2,120688.5,1925
85,52500,Office,4219671.5,944381.1,1989
86,422589,Enclosed Mall,11828168.1,1219690.3,1918
87,52000,Multifamily Housing,5598951.6,185396,1927
88,127725,Multifamily Housing,9094365.8,610151.5,1973
89,56777,Worship Facility,1866813.9,355771.6,2004
90,64764,Multifamily Housing,10530139.9,349854.3,1931
91,50400,Manufacturing/Industrial Plant,3824760.6,202064.9,1906
92,80566,Multifamily Housing,7080463.1,483478.1,1923
93,67140,Hotel,8236788.2,1146731.7,1910
94,81339,Multifamily Housing,11708334.9,794243.1,1922
95,134183,Multifamily Housing,9442101.7,358785.3,1927
96,63000,Non-Refrigerated Warehouse,465887.1,72755.3,1912
97,53880,Multifamily Housing,4456671.7,485787.7,1955
98,69604,Multifamily Housing,5738880.4,235098.2,1926
99,71644,Office,5608599,1643786.1,1991
100,50310,Multifamily Housing,6338232.8,210762.9,1924
101,57000,Multifamily Housing,4646904,157430,1930
102,113035,Multifamily Housing,4625560.2,748057.6,1925
103,576457,Multifamily Housing,38151647.3,4314827.7,2006
104,386533,Multifamily Housing,38110159.3,3058732.3,2002
105,206311,Multifamily Housing,19148866,1810529.8,1980
106,150886,Multifamily Housing,19287696,1311314.3,1951
107,50543,Multifamily Housing,1829321.8,536143.5,1927
108,0,Other,2118685.7,620951.2,2012
109,58150,Multifamily Housing,5150814.3,294650,1931
110,210000,Hotel,29187909.2,3762010.6,1988
111,72307,Hotel,6028727.5,1193765.4,1952
112,68308,Hotel,5672966.3,962629.1,1927
113,58700,K-12 School,5165704,832318.8,2009
114,121817,Office,8399807.2,1085691.7,1928
115,75468,Multifamily Housing,6532361.9,360510.7,1925
116,82856,Other,10546477.4,2291278.7,1977
117,81824,Other,12325863,2147445.9,1977
118,96250,Other,896025.4,228629.3,2011
119,82633,Other,4478976.3,NA,1973
120,565000,Office,52146017.5,7356589.6,1983
121,587000,Office,58317704.2,9703493.7,1975
122,66718,Self-Storage Facility,203753.7,59716.8,2003
123,400000,Self-Storage Facility,18597805,4257439.2,1920
124,66000,Multifamily Housing,7691110.6,490621.7,1928
125,64970,Multifamily Housing,4057474.9,471192.1,1986
126,65434,Multifamily Housing,4832464.1,329132.5,1924
127,50124,Multifamily Housing,2485977.3,404824.8,1930
